id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
12387972,JE257757,6/7/2021 23:52,063XX S RACINE AVE,460,BATTERY,SIMPLE,SIDEWALK,FALSE,TRUE,724,7,16,67,08B,1169405,1862839,2021,6/14/2021 17:03,41.77913694,-87.65449164,(41.77913694-87.65449164)
12387967,JE257762,6/7/2021 23:45,067XX S PAULINA ST,580,STALKING,SIMPLE,RESIDENCE,FALSE,FALSE,725,7,16,67,08A,1166171,1860025,2021,6/14/2021 17:03,41.7714844,-87.66642782,(41.7714844-87.66642782)
12387906,JE257763,6/7/2021 23:45,059XX W MADISON ST,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,1513,15,29,25,08B,1137088,1899409,2021,6/14/2021 17:03,41.88012979,-87.7720949,(41.88012979-87.7720949)
12388248,JE258171,6/7/2021 23:42,063XX S KENWOOD AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,314,3,20,42,6,1186161,1863188,2021,6/14/2021 17:03,41.77971522,-87.59305213,(41.77971522-87.59305213)
12388398,JE258381,6/7/2021 23:30,014XX W 91ST ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,2222,22,21,73,7,1168015,1844395,2021,6/14/2021 17:03,41.72855409,-87.66011662,(41.72855409-87.66011662)
12387968,JE257751,6/7/2021 23:30,009XX E MARQUETTE RD,5001,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,APARTMENT,FALSE,FALSE,321,3,5,42,26,1183538,1861445,2021,6/14/2021 17:03,41.77499383,-87.60272256,(41.77499383-87.60272256)
12387888,JE257747,6/7/2021 23:29,018XX S RIDGEWAY AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,1014,10,24,29,08B,1151663,1890638,2021,6/14/2021 17:03,41.85578715,-87.71880725,(41.85578715-87.71880725)
12387903,JE257746,6/7/2021 23:24,086XX S STATE ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,GAS STATION,TRUE,FALSE,632,6,6,44,15,1177802,1847510,2021,6/14/2021 17:03,41.73688639,-87.62417085,(41.73688639-87.62417085)
12387941,JE257756,6/7/2021 23:23,012XX N STATE PKWY,560,ASSAULT,SIMPLE,APARTMENT,FALSE,FALSE,1824,18,2,8,08A,1176066,1908568,2021,6/14/2021 17:03,41.90447393,-87.62869647,(41.90447393-87.62869647)
12387932,JE257732,6/7/2021 23:08,016XX W 77TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,611,6,17,71,08B,1166578,1853647,2021,6/14/2021 17:03,41.75397364,-87.66511751,(41.75397364-87.66511751)
12387961,JE257726,6/7/2021 23:06,025XX W THOMAS ST,320,ROBBERY,STRONG ARM - NO WEAPON,SIDEWALK,FALSE,FALSE,1211,12,1,24,3,1159206,1907229,2021,6/14/2021 17:03,41.90116294,-87.69066465,(41.90116294-87.69066465)
12388226,JE257966,6/7/2021 23:03,018XX S TRUMBULL AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1021,10,24,29,14,1153658,1890886,2021,6/14/2021 17:03,41.85642828,-87.71147798,(41.85642828-87.71147798)
12387866,JE257743,6/7/2021 23:03,018XX S TRUMBULL AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,SIDEWALK,FALSE,FALSE,1021,10,24,29,15,1153658,1890878,2021,6/14/2021 17:03,41.85640633,-87.71147819,(41.85640633-87.71147819)
12388347,JE258014,6/7/2021 23:00,131XX S AVENUE M,810,THEFT,OVER $500,STREET,FALSE,FALSE,433,4,10,55,6,1201736,1818410,2021,6/14/2021 17:03,41.65645878,-87.53747099,(41.65645878-87.53747099)
12389472,JE259706,6/7/2021 23:00,079XX S WHIPPLE ST,650,BURGLARY,HOME INVASION,APARTMENT,FALSE,FALSE,835,8,18,70,5,1157423,1851882,2021,6/14/2021 17:03,41.74932042,-87.69871544,(41.74932042-87.69871544)
12387947,JE257734,6/7/2021 23:00,028XX E 83RD ST,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,TRUE,423,4,7,46,6,1196366,1850481,2021,6/14/2021 17:03,41.74459916,-87.55606096,(41.74459916-87.55606096)
12393937,JE258255,6/7/2021 23:00,016XX W 17TH ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1234,12,25,31,7,,,2021,6/14/2021 17:03,,,()
12388242,JE258119,6/7/2021 23:00,047XX W PENSACOLA AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1722,17,45,16,7,1143818,1928495,2021,6/14/2021 17:03,41.95982134,-87.74665215,(41.95982134-87.74665215)
12389288,JE259462,6/7/2021 23:00,044XX W WILCOX ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,1113,11,28,26,14,1146887,1898970,2021,6/14/2021 17:03,41.87874365,-87.73612491,(41.87874365-87.73612491)
12387989,JE257735,6/7/2021 23:00,032XX W 111TH ST,460,BATTERY,SIMPLE,BAR OR TAVERN,FALSE,FALSE,2211,22,19,74,08B,1156542,1830822,2021,6/14/2021 17:03,41.69154587,-87.70250928,(41.69154587-87.70250928)
12387960,JE257741,6/7/2021 22:58,012XX W MADISON ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,FALSE,TRUE,1224,12,25,28,08B,1168174,1900169,2021,6/14/2021 17:03,41.88160073,-87.65792863,(41.88160073-87.65792863)
12387896,JE257748,6/7/2021 22:55,012XX E 53RD ST,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,FALSE,234,2,4,41,6,1185293,1870377,2021,6/14/2021 17:03,41.79946289,-87.59600826,(41.79946289-87.59600826)
12387868,JE257725,6/7/2021 22:50,064XX S MORGAN ST,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,RESIDENCE - PORCH / HALLWAY,FALSE,FALSE,723,7,16,68,15,1170752,1862110,2021,6/14/2021 17:03,41.77710719,-87.64957467,(41.77710719-87.64957467)
12388008,JE257774,6/7/2021 22:45,064XX S MORGAN ST,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,FALSE,FALSE,724,7,16,68,04B,1170753,1862090,2021,6/14/2021 17:03,41.77705229,-87.64957159,(41.77705229-87.64957159)
12387958,JE257727,6/7/2021 22:40,062XX S CHAMPLAIN AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,TRUE,313,3,20,42,08B,1181642,1863749,2021,6/14/2021 17:03,41.78136022,-87.60960187,(41.78136022-87.60960187)
12387878,JE257737,6/7/2021 22:38,054XX S WENTWORTH AVE,460,BATTERY,SIMPLE,RESTAURANT,FALSE,FALSE,225,2,3,37,08B,1175896,1868633,2021,6/14/2021 17:03,41.7948932,-87.63052148,(41.7948932-87.63052148)
12388039,JE257823,6/7/2021 22:36,049XX S HONORE ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,931,9,15,61,08B,1164852,1871869,2021,6/14/2021 17:03,41.8040138,-87.67092834,(41.8040138-87.67092834)
12387873,JE257728,6/7/2021 22:32,0000X W DELAWARE PL,1210,DECEPTIVE PRACTICE,THEFT OF LABOR / SERVICES,SIDEWALK,FALSE,FALSE,1832,18,2,8,11,1176092,1906623,2021,6/14/2021 17:03,41.89913617,-87.62865965,(41.89913617-87.62865965)
12388138,JE257702,6/7/2021 22:30,074XX S YATES BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,TRUE,334,3,7,43,14,1193497,1856026,2021,6/14/2021 17:03,41.75988573,-87.56639203,(41.75988573-87.56639203)
12388677,JE258393,6/7/2021 22:30,014XX E 69TH PL,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,332,3,5,43,14,1187323,1859206,2021,6/14/2021 17:03,41.76876075,-87.58891851,(41.76876075-87.58891851)
12388444,JE257704,6/7/2021 22:14,079XX S COLFAX AVE,496,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,STREET,FALSE,TRUE,422,4,7,46,04B,1194893,1852902,2021,6/14/2021 17:03,41.75127897,-87.56137853,(41.75127897-87.56137853)
12387936,JE257700,6/7/2021 22:14,069XX W ARCHER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,811,8,23,56,14,1131160,1867292,2021,6/14/2021 17:03,41.79209975,-87.79460188,(41.79209975-87.79460188)
12387869,JE257691,6/7/2021 22:10,096XX S GREENWOOD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,FALSE,FALSE,511,5,8,50,14,1185241,1841139,2021,6/14/2021 17:03,41.71923222,-87.59711658,(41.71923222-87.59711658)
12388691,JE257693,6/7/2021 22:05,024XX N MILWAUKEE AVE,560,ASSAULT,SIMPLE,SIDEWALK,FALSE,FALSE,1414,14,1,22,08A,1156086,1916141,2021,6/14/2021 17:03,41.92568177,-87.70188372,(41.92568177-87.70188372)
